,Unnamed: 0,id,date_insert,sensor_id,wtempV_°C,conductivity_of_solution_ mS_cm,oxidation_reduction_potential_ mV,total_suspended_solids_mg_L,turbidity_NTU,dissolved_oxygen_concentration _ppm,dissolved_oxygen_concentration_mg_L,oxygen_saturation_%,salinity_ppt,dissolved_solids _ppm,location,Water_Quality_Label
0,2,3.0,2025-07-03 15:00:00,976,24.96,56828.55,-170.59,63.73,80.74,7.91,7.91,95.62,37.99,37057.9,Ακταίο,Ok
14,20,21.0,2025-07-03 17:00:00,976,24.7,56596.52,-170.08,432.16,175.68,8.01,8.01,95.85,37.81,36906.59,Ακταίο,Medium
22,29,30.0,2025-07-03 18:00:00,976,24.63,56950.69,-170.49,76.01,212.74,8.04,8.04,96.25,38.09,37137.55,Ακταίο,Danger
30,38,39.0,2025-07-03 19:00:00,976,24.66,56709.95,-171.16,135.79,237.97,7.99,7.99,96.0,37.9,36980.56,Ακταίο,Danger
45,56,57.0,2025-07-03 21:00:00,976,24.55,57077.96,-177.41,74.23,47.8,7.7,7.7,92.31,38.19,37220.54,Ακταίο,Ok
52,65,66.0,2025-07-03 22:00:00,976,24.41,56992.14,-178.25,60.31,37.83,7.61,7.61,90.99,38.13,37164.58,Ακταίο,Ok
59,74,75.0,2025-07-03 23:00:00,976,24.23,57045.85,-176.87,74.9,44.46,7.64,7.64,91.03,38.17,37199.6,Ακταίο,Ok
67,83,84.0,2025-07-04 00:00:00,976,24.12,56996.83,-177.35,190.24,98.3,7.63,7.63,90.88,38.13,37167.63,Ακταίο,Ok
74,92,93.0,2025-07-04 01:00:00,976,23.92,56991.82,-176.6,50.17,44.75,7.6,7.6,90.46,38.13,37164.37,Ακταίο,Ok
82,101,102.0,2025-07-04 02:00:00,976,23.9,57041.27,-176.28,41.91,27.67,7.62,7.62,90.65,38.17,37196.61,Ακταίο,Ok
90,110,111.0,2025-07-04 03:00:00,976,23.79,56967.32,-175.54,37.9,35.55,7.7,7.7,91.36,38.11,37148.39,Ακταίο,Ok
97,119,120.0,2025-07-04 04:00:00,976,23.8,56830.98,-173.95,37.23,57.96,7.82,7.82,92.84,38.0,37059.48,Ακταίο,Ok
105,128,129.0,2025-07-04 05:00:00,976,23.8,56973.43,-175.2,218.5,54.04,7.86,7.86,93.38,38.11,37152.38,Ακταίο,Ok
113,137,138.0,2025-07-04 06:00:00,976,23.77,57072.15,-175.37,83.08,45.66,7.85,7.85,93.1,38.19,37216.75,Ακταίο,Ok
121,146,147.0,2025-07-04 07:00:00,976,23.79,57064.04,-171.71,116.88,46.06,7.97,7.97,94.68,38.18,37211.46,Ακταίο,Ok
129,155,156.0,2025-07-04 08:00:00,976,23.98,57072.64,-169.51,91.25,54.96,8.01,8.01,95.37,38.19,37217.07,Ακταίο,Ok
144,173,174.0,2025-07-04 10:00:00,976,24.32,57069.35,-172.08,69.98,39.75,8.1,8.1,96.68,38.19,37214.93,Ακταίο,Ok
159,191,192.0,2025-07-04 12:00:00,976,24.63,57132.63,-166.99,267.83,43.36,8.06,8.06,96.75,38.24,37256.19,Ακταίο,Ok
167,200,201.0,2025-07-04 13:00:00,976,24.58,56950.16,-168.55,767.93,69.42,8.11,8.11,97.04,38.09,37137.2,Ακταίο,Ok
175,209,210.0,2025-07-04 14:00:00,976,24.53,57014.24,-167.43,49.06,46.12,8.17,8.17,97.97,38.14,37178.98,Ακταίο,Ok
183,218,219.0,2025-07-04 15:00:00,976,24.63,56643.91,-168.02,435.38,56.92,8.04,8.04,96.63,9998.04,36937.49,Ακταίο,Ok
191,227,228.0,2025-07-04 16:00:00,976,24.82,56338.42,-166.46,180.72,133.26,8.08,8.08,96.99,37.6,36738.29,Ακταίο,Medium
199,236,237.0,2025-07-04 17:00:00,976,25.02,56716.45,-166.44,2297.38,61.66,8.01,8.01,96.49,37.9,36984.8,Ακταίο,Ok
207,245,246.0,2025-07-04 18:00:00,976,24.76,56863.98,-168.76,2047.58,203.63,8.09,8.09,97.16,38.02,37081.0,Ακταίο,Danger
215,254,255.0,2025-07-04 19:00:00,976,24.82,56804.99,-170.46,197.65,191.57,7.92,7.92,95.49,37.98,37042.54,Ακταίο,Danger
237,281,282.0,2025-07-04 22:00:00,976,24.68,57152.22,-175.34,121.06,74.12,7.69,7.69,92.51,38.25,37268.96,Ακταίο,Ok
244,290,291.0,2025-07-04 23:00:00,976,24.68,57151.61,-175.45,96.87,30.03,7.69,7.69,92.47,9998.04,37268.57,Ακταίο,Ok
251,299,300.0,2025-07-05 00:00:00,976,24.62,57176.21,-175.54,124.32,43.68,7.61,7.61,91.36,38.27,37284.61,Ακταίο,Ok
258,308,309.0,2025-07-05 01:00:00,976,24.53,56898.61,-175.45,129.26,129.76,7.61,7.61,91.28,38.05,37103.59,Ακταίο,Medium
266,317,318.0,2025-07-05 02:00:00,976,24.58,57090.49,-175.1,40.12,33.63,7.64,7.64,91.62,9998.04,37228.71,Ακταίο,Ok
274,326,327.0,2025-07-05 03:00:00,976,24.93,57293.52,-171.12,60.15,33.56,7.77,7.77,93.62,38.37,37361.11,Ακταίο,Ok
281,335,336.0,2025-07-05 04:00:00,976,24.92,57295.44,-171.35,36.63,61.74,7.74,7.74,93.63,38.37,37362.36,Ακταίο,Ok
288,344,345.0,2025-07-05 05:00:00,976,24.84,57215.56,-170.51,45.54,44.51,7.76,7.76,93.7,38.31,37310.27,Ακταίο,Ok
296,353,354.0,2025-07-05 06:00:00,976,24.91,57257.37,-169.15,192.43,53.44,7.76,7.76,93.84,38.34,37337.53,Ακταίο,Ok
311,371,372.0,2025-07-05 08:00:00,976,24.99,57138.88,-163.24,120.34,60.03,7.86,7.86,95.17,38.24,37260.27,Ακταίο,Ok
320,380,381.0,2025-07-05 09:00:00,976,25.05,57235.48,-154.38,111.82,46.77,7.88,7.88,95.63,38.32,37323.25,Ακταίο,Ok
328,389,390.0,2025-07-05 10:00:00,976,25.13,57155.74,-158.25,140.08,39.69,7.87,7.87,95.43,38.26,37271.26,Ακταίο,Ok
350,416,417.0,2025-07-05 13:00:00,976,24.75,57223.41,-160.24,131.87,76.58,8.11,8.11,97.65,38.31,37315.38,Ακταίο,Ok
357,425,426.0,2025-07-05 14:00:00,976,24.79,56945.05,-149.99,127.94,47.41,8.09,8.09,97.62,38.09,37133.87,Ακταίο,Ok
364,434,435.0,2025-07-05 15:00:00,976,24.8,57035.96,-151.52,184.1,48.85,8.03,8.03,96.86,9998.04,37193.15,Ακταίο,Ok
372,443,444.0,2025-07-05 16:00:00,976,24.82,56803.05,-149.1,58.67,39.65,8.1,8.1,97.56,37.97,37041.27,Ακταίο,Ok
388,461,462.0,2025-07-05 18:00:00,976,24.77,57015.17,-154.89,477.52,162.64,8.06,8.06,97.21,38.14,37179.59,Ακταίο,Medium
397,470,471.0,2025-07-05 19:00:00,976,24.74,56726.41,-161.89,201.27,199.48,7.96,7.96,95.86,37.91,36991.3,Ακταίο,Danger
405,479,480.0,2025-07-05 20:00:00,976,24.65,56898.47,-163.13,65.93,80.3,7.93,7.93,95.35,38.05,37103.49,Ακταίο,Ok
413,488,489.0,2025-07-05 21:00:00,976,24.63,57141.92,-169.83,61.99,74.85,7.73,7.73,92.47,38.25,37262.25,Ακταίο,Ok
420,497,498.0,2025-07-05 22:00:00,976,24.75,57273.64,-174.88,38.33,28.94,7.41,7.41,88.95,38.35,37348.14,Ακταίο,Ok
428,506,507.0,2025-07-05 23:00:00,976,24.63,57196.75,-176.9,36.32,25.78,7.16,7.16,86.06,38.29,37298.0,Ακταίο,Ok
436,515,516.0,2025-07-06 00:00:00,976,24.56,57162.69,-174.02,43.58,30.07,7.36,7.36,88.29,38.26,37275.79,Ακταίο,Ok
444,524,525.0,2025-07-06 01:00:00,976,24.54,57152.2,-171.28,34.01,24.81,7.44,7.44,89.19,38.25,37268.95,Ακταίο,Ok
453,533,534.0,2025-07-06 02:00:00,976,24.53,57190.98,-177.14,31.47,22.02,7.18,7.18,86.08,38.29,37294.24,Ακταίο,Ok
462,542,543.0,2025-07-06 03:00:00,976,24.49,57090.02,-178.03,29.85,21.66,6.96,6.96,83.36,38.2,37228.4,Ακταίο,Ok
470,551,552.0,2025-07-06 04:00:00,976,24.5,57221.36,-175.06,31.52,22.09,7.14,7.14,85.53,38.31,37314.05,Ακταίο,Ok
478,560,561.0,2025-07-06 05:00:00,976,24.63,57181.36,-161.57,43.78,40.1,7.79,7.79,93.59,38.28,37287.96,Ακταίο,Ok
485,569,570.0,2025-07-06 06:00:00,976,24.63,57145.34,-160.48,72.34,53.39,7.87,7.87,94.44,38.25,37264.48,Ακταίο,Ok
493,578,579.0,2025-07-06 07:00:00,976,24.53,57222.61,-156.29,61.9,31.77,7.93,7.93,95.03,38.31,37314.87,Ακταίο,Ok
501,587,588.0,2025-07-06 08:00:00,976,24.49,56800.27,-155.31,108.69,62.2,7.92,7.92,94.97,37.97,37039.45,Ακταίο,Ok
509,596,597.0,2025-07-06 09:00:00,976,24.91,57116.68,-148.37,158.87,137.9,7.88,7.88,95.24,38.23,37245.79,Ακταίο,Medium
517,605,606.0,2025-07-06 10:00:00,976,25.05,57214.29,-146.45,67.9,47.43,7.93,7.93,96.11,38.3,37309.44,Ακταίο,Ok
525,614,615.0,2025-07-06 11:00:00,976,25.26,57198.01,-147.29,213.02,37.1,7.99,7.99,97.34,38.29,37298.82,Ακταίο,Ok
540,632,633.0,2025-07-06 13:00:00,976,25.39,56986.51,-148.24,60.8,48.33,7.87,7.87,95.95,38.12,37160.91,Ακταίο,Ok
549,641,642.0,2025-07-06 14:00:00,976,25.36,57156.59,-139.05,36.23,29.19,7.96,7.96,97.18,38.26,37271.82,Ακταίο,Ok
558,650,651.0,2025-07-06 15:00:00,976,25.41,57247.09,-133.39,45.06,23.81,8.1,8.1,98.84,38.33,37330.83,Ακταίο,Ok
564,659,660.0,2025-07-06 16:00:00,976,25.1,57249.7,-131.9,25.75,21.69,8.12,8.12,98.5,38.33,37332.53,Ακταίο,Ok
570,668,669.0,2025-07-06 17:00:00,976,24.25,57075.36,-126.99,19.69,19.43,8.35,8.35,99.57,38.19,37218.84,Ακταίο,Ok
577,677,678.0,2025-07-06 18:00:00,976,24.59,57024.36,-117.19,23.65,18.34,8.35,8.35,99.36,38.15,37185.59,Ακταίο,Ok
584,686,687.0,2025-07-06 19:00:00,976,24.95,57194.46,-114.24,26.52,21.32,8.04,8.04,97.37,38.29,37296.51,Ακταίο,Ok
592,695,696.0,2025-07-06 20:00:00,976,24.53,57081.81,-140.76,25.85,20.76,7.89,7.89,94.45,38.2,37223.05,Ακταίο,Ok
600,704,705.0,2025-07-06 21:00:00,976,24.49,57024.27,-172.09,24.19,18.14,7.76,7.76,92.92,38.15,37185.53,Ακταίο,Ok
608,713,714.0,2025-07-06 22:00:00,976,24.55,57055.88,-178.66,27.38,17.89,7.22,7.22,86.62,38.18,37206.14,Ακταίο,Ok
616,722,723.0,2025-07-06 23:00:00,976,25.24,57238.66,-174.0,23.36,17.47,7.44,7.44,90.48,38.32,37325.34,Ακταίο,Ok
624,731,732.0,2025-07-07 00:00:00,976,25.31,57218.76,-164.8,29.2,22.37,7.46,7.46,90.87,38.31,37312.35,Ακταίο,Ok
631,740,741.0,2025-07-07 01:00:00,976,25.19,57188.43,-169.85,27.12,20.59,7.25,7.25,88.19,38.28,37292.58,Ακταίο,Ok
638,749,750.0,2025-07-07 02:00:00,976,25.21,57194.36,-163.79,27.15,19.51,7.39,7.39,89.02,38.29,37296.44,Ακταίο,Ok
646,758,759.0,2025-07-07 03:00:00,976,24.47,57138.4,-162.61,27.68,19.6,7.67,7.67,91.6,38.24,37259.95,Ακταίο,Ok
654,767,768.0,2025-07-07 04:00:00,976,24.34,57086.32,-177.03,23.83,17.26,7.26,7.26,86.72,38.2,37225.99,Ακταίο,Ok
661,776,777.0,2025-07-07 05:00:00,976,23.98,57104.92,-167.23,22.48,17.8,7.35,7.35,87.38,38.22,37238.12,Ακταίο,Ok
668,785,786.0,2025-07-07 06:00:00,976,23.81,56995.81,-159.52,22.72,20.11,7.4,7.4,87.87,38.13,37166.97,Ακταίο,Ok
676,794,795.0,2025-07-07 07:00:00,976,23.74,57039.77,-136.82,26.93,24.08,7.96,7.96,94.49,38.16,37195.64,Ακταίο,Ok
684,803,804.0,2025-07-07 08:00:00,976,23.92,57113.08,-133.33,26.86,27.77,8.17,8.17,96.23,38.22,37243.44,Ακταίο,Ok
692,812,813.0,2025-07-07 09:00:00,976,24.21,57086.8,-112.04,28.66,23.01,8.22,8.22,98.0,38.2,37226.31,Ακταίο,Ok
699,821,822.0,2025-07-07 10:00:00,976,25.03,57229.96,-134.8,33.31,26.11,7.95,7.95,96.2,38.32,37319.66,Ακταίο,Ok
706,830,831.0,2025-07-07 11:00:00,976,25.21,57139.43,-134.57,28.94,25.03,7.85,7.85,95.45,38.24,37260.63,Ακταίο,Ok
713,839,840.0,2025-07-07 12:00:00,976,25.15,57192.65,-140.75,30.04,23.24,8.08,8.08,97.13,38.29,37295.33,Ακταίο,Ok
720,848,849.0,2025-07-07 13:00:00,976,24.95,57115.39,-121.25,29.25,24.9,8.18,8.18,98.94,38.22,37244.95,Ακταίο,Ok
727,857,858.0,2025-07-07 14:00:00,976,24.32,57072.21,-111.67,27.06,20.81,8.26,8.26,98.31,38.19,37216.79,Ακταίο,Ok
734,866,867.0,2025-07-07 15:00:00,976,24.13,57052.48,-115.83,25.37,20.4,8.17,8.17,97.34,38.17,37203.92,Ακταίο,Ok
741,875,876.0,2025-07-07 16:00:00,976,23.13,56984.18,-105.66,23.71,23.19,8.36,8.36,97.88,38.12,37159.39,Ακταίο,Ok
748,884,885.0,2025-07-07 17:00:00,976,23.33,57063.28,-105.53,25.86,24.78,8.29,8.29,96.99,38.18,37210.96,Ακταίο,Ok
755,893,894.0,2025-07-07 18:00:00,976,23.45,56978.05,-105.82,41.09,28.76,8.15,8.15,96.0,38.11,37155.39,Ακταίο,Ok
762,902,903.0,2025-07-07 19:00:00,976,23.33,56941.12,-134.56,50.07,37.51,8.3,8.3,97.0,38.08,37131.3,Ακταίο,Ok
775,920,921.0,2025-07-07 21:00:00,976,24.94,57109.29,-168.6,25.9,20.72,7.47,7.47,90.05,38.22,37240.97,Ακταίο,Ok
782,929,930.0,2025-07-07 22:00:00,976,25.05,57089.87,-172.9,25.51,20.64,7.14,7.14,86.48,38.2,37228.3,Ακταίο,Ok
789,938,939.0,2025-07-07 23:00:00,976,24.63,57160.58,-161.69,33.01,48.31,7.71,7.71,92.49,38.26,37274.42,Ακταίο,Ok
796,947,948.0,2025-07-08 00:00:00,976,24.53,57008.66,-166.57,28.19,20.23,7.61,7.61,90.98,38.14,37175.35,Ακταίο,Ok
803,956,957.0,2025-07-08 01:00:00,976,24.35,57015.36,-163.41,27.45,20.12,7.59,7.59,88.96,38.14,37179.72,Ακταίο,Ok
810,965,966.0,2025-07-08 02:00:00,976,23.94,57031.74,-160.3,31.27,22.39,7.81,7.81,90.94,38.16,37190.4,Ακταίο,Ok
817,974,975.0,2025-07-08 03:00:00,976,23.03,56921.36,-161.38,26.14,19.43,7.76,7.76,90.49,38.07,37118.42,Ακταίο,Ok
824,983,984.0,2025-07-08 04:00:00,976,23.23,56964.28,-163.27,26.16,19.84,7.6,7.6,89.12,38.1,37146.41,Ακταίο,Ok
831,992,993.0,2025-07-08 05:00:00,976,22.82,56888.42,-160.7,25.66,18.86,7.74,7.74,89.92,38.04,37096.94,Ακταίο,Ok
838,1001,1002.0,2025-07-08 06:00:00,976,22.67,56873.09,-157.38,29.18,23.09,7.86,7.86,91.06,38.03,37086.94,Ακταίο,Ok
845,1010,1011.0,2025-07-08 07:00:00,976,22.91,56898.61,-148.78,28.7,22.46,8.02,8.02,93.35,38.05,37103.59,Ακταίο,Ok
852,1019,1020.0,2025-07-08 08:00:00,976,22.84,56957.99,-143.28,42.11,23.82,8.14,8.14,94.5,38.1,37142.3,Ακταίο,Ok
859,1028,1029.0,2025-07-08 09:00:00,976,22.66,56890.07,-123.16,26.37,23.0,8.54,8.54,98.96,38.04,37098.02,Ακταίο,Ok
866,1037,1038.0,2025-07-08 10:00:00,976,23.05,56857.57,-133.62,27.5,22.95,8.52,8.52,99.54,38.02,37076.82,Ακταίο,Ok
873,1046,1047.0,2025-07-08 11:00:00,976,22.99,56787.35,-137.03,27.48,22.67,8.37,8.37,97.45,37.96,37031.04,Ακταίο,Ok
881,1055,1056.0,2025-07-08 12:00:00,976,22.94,56869.1,-133.86,30.62,23.94,8.52,8.52,99.2,38.03,37084.34,Ακταίο,Ok
888,1064,1065.0,2025-07-08 13:00:00,976,22.84,56826.21,-127.77,31.65,25.45,8.69,8.69,101.14,37.99,37056.37,Ακταίο,Ok
895,1073,1074.0,2025-07-08 14:00:00,976,22.9,56922.88,-136.03,29.2,24.6,8.56,8.56,99.61,38.07,37119.41,Ακταίο,Ok
903,1082,1083.0,2025-07-08 15:00:00,976,23.01,56867.56,-125.1,28.74,23.98,8.48,8.48,98.94,38.03,37083.34,Ακταίο,Ok
911,1091,1092.0,2025-07-08 16:00:00,976,23.09,56834.75,-130.91,28.32,25.26,8.54,8.54,99.47,38.0,37061.94,Ακταίο,Ok
919,1100,1101.0,2025-07-08 17:00:00,976,22.94,56821.85,-131.56,31.35,25.37,8.58,8.58,99.96,37.99,37053.53,Ακταίο,Ok
927,1109,1110.0,2025-07-08 18:00:00,976,23.06,56917.04,-121.63,30.66,24.84,8.5,8.5,99.34,38.07,37115.6,Ακταίο,Ok
935,1118,1119.0,2025-07-08 19:00:00,976,23.04,56902.13,-125.2,29.47,24.48,8.37,8.37,97.73,38.05,37105.88,Ακταίο,Ok
943,1127,1128.0,2025-07-08 20:00:00,976,22.96,56825.24,-146.85,33.05,26.14,8.32,8.32,97.06,37.99,37055.74,Ακταίο,Ok
951,1136,1137.0,2025-07-08 21:00:00,976,22.64,56833.69,-164.17,47.73,36.72,8.17,8.17,93.61,38.0,37061.25,Ακταίο,Ok
959,1145,1146.0,2025-07-08 22:00:00,976,22.4,56826.3,-171.79,28.99,20.43,7.76,7.76,89.35,37.99,37056.43,Ακταίο,Ok
967,1154,1155.0,2025-07-08 23:00:00,976,23.57,56930.63,-173.81,34.7,20.92,7.81,7.81,92.13,38.08,37124.46,Ακταίο,Ok
975,1163,1164.0,2025-07-09 00:00:00,976,23.58,56797.5,-172.3,28.5,21.81,7.62,7.62,89.6,37.97,37037.65,Ακταίο,Ok
983,1172,1173.0,2025-07-09 01:00:00,976,23.47,56820.55,-171.19,30.62,22.64,7.87,7.87,92.53,37.99,37052.68,Ακταίο,Ok
991,1181,1182.0,2025-07-09 02:00:00,976,23.4,57158.52,-169.15,32.81,25.85,8.08,8.08,94.0,38.26,37273.07,Ακταίο,Ok
1000,1190,1191.0,2025-07-09 03:00:00,976,23.26,56898.07,-170.31,28.68,20.81,8.04,8.04,94.36,38.05,37103.23,Ακταίο,Ok
1009,1199,1200.0,2025-07-09 04:00:00,976,23.63,56946.88,-171.6,31.37,33.58,7.9,7.9,93.34,38.09,37135.06,Ακταίο,Ok
1018,1208,1209.0,2025-07-09 05:00:00,976,23.6,56947.8,-174.67,26.25,19.25,7.74,7.74,91.55,38.09,37135.66,Ακταίο,Ok
1027,1217,1218.0,2025-07-09 06:00:00,976,23.59,56884.22,-175.17,24.26,21.16,7.85,7.85,92.76,38.04,37094.2,Ακταίο,Ok
1036,1226,1227.0,2025-07-09 07:00:00,976,23.52,56863.08,-165.18,32.98,26.98,8.08,8.08,95.32,38.02,37080.42,Ακταίο,Ok
1045,1235,1236.0,2025-07-09 08:00:00,976,23.47,56807.86,-166.43,32.25,25.35,8.09,8.09,95.46,37.98,37044.41,Ακταίο,Ok
1054,1244,1245.0,2025-07-09 09:00:00,976,23.44,56882.04,-160.11,35.98,28.98,8.29,8.29,96.82,38.04,37092.78,Ακταίο,Ok
1063,1253,1254.0,2025-07-09 10:00:00,976,23.13,56827.84,-155.09,34.37,26.14,8.64,8.64,101.15,37.99,37057.44,Ακταίο,Ok
1071,1262,1263.0,2025-07-09 11:00:00,976,24.16,57028.35,-155.55,51.1,29.46,8.39,8.39,99.98,38.15,37188.19,Ακταίο,Ok
1079,1271,1272.0,2025-07-09 12:00:00,976,23.66,56859.25,-154.39,33.78,27.28,8.35,8.35,98.7,38.02,37077.92,Ακταίο,Ok
1088,1280,1281.0,2025-07-09 13:00:00,976,23.47,56857.49,-152.52,30.45,25.08,8.4,8.4,97.39,38.02,37076.77,Ακταίο,Ok
1096,1289,1290.0,2025-07-09 14:00:00,976,23.87,56870.21,-150.85,32.28,25.68,8.5,8.5,100.92,38.03,37085.07,Ακταίο,Ok
1103,1298,1299.0,2025-07-09 15:00:00,976,23.77,56914.07,-147.67,31.51,27.45,8.3,8.3,98.24,38.06,37113.67,Ακταίο,Ok
1110,1307,1308.0,2025-07-09 16:00:00,976,23.85,56913.86,-151.77,25.43,22.45,8.29,8.29,98.59,38.06,37113.53,Ακταίο,Ok
1117,1316,1317.0,2025-07-09 17:00:00,976,23.88,56870.55,-150.96,32.2,26.2,8.37,8.37,99.1,38.03,37085.29,Ακταίο,Ok
1125,1325,1326.0,2025-07-09 18:00:00,976,23.67,56848.51,-151.44,27.89,22.89,8.31,8.31,98.32,38.01,37070.91,Ακταίο,Ok
1133,1334,1335.0,2025-07-09 19:00:00,976,23.77,56927.16,-150.48,26.13,22.63,8.22,8.22,97.55,38.07,37122.2,Ακταίο,Ok
1135,1337,1338.0,2025-07-10 08:00:00,976,25.13,57230.72,-144.48,93.33,27.81,8.16,8.16,96.74,38.32,37320.16,Ακταίο,Ok
1141,1346,1347.0,2025-07-10 09:00:00,976,25.19,57116.41,-157.3,34.46,26.28,7.58,7.58,92.17,38.23,37245.61,Ακταίο,Ok
1149,1355,1356.0,2025-07-10 10:00:00,976,24.81,56908.2,-155.52,34.15,25.75,7.89,7.89,95.16,38.06,37109.84,Ακταίο,Ok
1157,1364,1365.0,2025-07-10 11:00:00,976,25.41,57000.63,-154.39,36.78,27.21,7.94,7.94,97.03,38.13,37170.11,Ακταίο,Ok
1164,1373,1374.0,2025-07-10 12:00:00,976,25.05,56866.17,-155.77,40.16,27.14,7.93,7.93,96.05,38.02,37082.43,Ακταίο,Ok
1171,1382,1383.0,2025-07-10 13:00:00,976,24.95,56801.13,-155.4,34.5,28.88,8.0,8.0,96.29,37.97,37040.02,Ακταίο,Ok
1178,1391,1392.0,2025-07-10 14:00:00,976,24.74,56901.13,-150.0,85.78,28.9,8.21,8.21,98.96,38.05,37105.23,Ακταίο,Ok
1185,1400,1401.0,2025-07-10 15:00:00,976,24.84,56909.26,-150.38,61.45,26.48,8.17,8.17,97.56,9998.04,37110.53,Ακταίο,Ok
1193,1409,1410.0,2025-07-10 16:00:00,976,24.9,57033.1,-149.43,38.5,26.5,8.04,8.04,97.11,38.16,37191.29,Ακταίο,Ok
1201,1418,1419.0,2025-07-10 17:00:00,976,25.0,56960.7,-147.31,34.6,27.62,8.27,8.27,100.18,38.1,37144.07,Ακταίο,Ok
1210,1427,1428.0,2025-07-10 18:00:00,976,24.88,56922.68,-150.18,36.39,26.6,8.02,8.02,96.92,38.07,37119.29,Ακταίο,Ok
1218,1436,1437.0,2025-07-10 19:00:00,976,24.66,56897.76,-151.4,41.52,27.82,7.99,7.99,95.82,38.05,37103.03,Ακταίο,Ok
1226,1445,1446.0,2025-07-10 20:00:00,976,24.58,56873.16,-154.3,34.27,26.05,7.78,7.78,93.34,38.03,37086.99,Ακταίο,Ok
1234,1454,1455.0,2025-07-10 21:00:00,976,24.58,56904.8,-155.85,39.59,27.51,7.64,7.64,91.68,38.06,37107.62,Ακταίο,Ok
1242,1463,1464.0,2025-07-10 22:00:00,976,24.43,56963.54,-153.93,32.98,28.74,7.79,7.79,93.17,38.1,37145.93,Ακταίο,Ok
1250,1472,1473.0,2025-07-10 23:00:00,976,23.63,56827.77,-154.81,31.72,23.93,7.48,7.48,88.52,37.99,37057.39,Ακταίο,Ok
1257,1481,1482.0,2025-07-11 00:00:00,976,24.32,56745.08,-154.25,36.84,25.76,7.58,7.58,89.17,37.93,37003.47,Ακταίο,Ok
1264,1490,1491.0,2025-07-11 01:00:00,976,24.53,56899.59,-152.56,36.66,23.35,7.7,7.7,92.28,38.05,37104.23,Ακταίο,Ok
1271,1499,1500.0,2025-07-11 02:00:00,976,24.57,56852.45,-155.24,33.19,24.98,7.4,7.4,88.41,38.01,37073.48,Ακταίο,Ok
1279,1508,1509.0,2025-07-11 03:00:00,976,24.25,56888.14,-154.78,35.32,26.1,7.46,7.46,88.89,38.04,37096.76,Ακταίο,Ok
1287,1517,1518.0,2025-07-11 04:00:00,976,24.17,56851.73,-155.89,33.56,23.58,7.43,7.43,88.54,38.01,37073.02,Ακταίο,Ok
1295,1526,1527.0,2025-07-11 05:00:00,976,24.34,56901.78,-152.54,33.39,22.92,7.75,7.75,92.47,38.05,37105.65,Ακταίο,Ok
1303,1535,1536.0,2025-07-11 06:00:00,976,24.28,56878.13,-151.56,35.5,26.64,7.68,7.68,91.44,38.03,37090.23,Ακταίο,Ok
1310,1544,1545.0,2025-07-11 07:00:00,976,24.16,56966.03,-146.64,33.85,24.18,7.87,7.87,93.7,38.1,37147.55,Ακταίο,Ok
1317,1553,1554.0,2025-07-11 08:00:00,976,24.53,56944.13,-147.53,31.35,32.45,7.82,7.82,93.26,38.09,37133.27,Ακταίο,Ok
1324,1562,1563.0,2025-07-11 09:00:00,976,24.6,56895.84,-147.44,26.34,20.65,8.02,8.02,96.09,38.05,37101.78,Ακταίο,Ok
1331,1571,1572.0,2025-07-11 10:00:00,976,24.69,56863.89,-145.44,40.59,30.14,8.11,8.11,97.56,38.02,37080.94,Ακταίο,Ok
1339,1580,1581.0,2025-07-11 11:00:00,976,24.21,56696.23,-146.55,267.68,48.66,7.95,7.95,94.21,37.89,36971.62,Ακταίο,Ok
1346,1589,1590.0,2025-07-11 12:00:00,976,25.18,56840.51,-146.9,152.95,70.07,7.82,7.82,94.81,9998.04,37065.7,Ακταίο,Ok
1359,1607,1608.0,2025-07-11 14:00:00,976,24.87,56762.31,-147.22,126.2,36.66,7.89,7.89,94.93,9998.04,37014.7,Ακταίο,Ok
1366,1616,1617.0,2025-07-11 15:00:00,976,24.98,56831.35,-146.52,34.61,33.08,7.93,7.93,95.98,38.0,37059.72,Ακταίο,Ok
1374,1625,1626.0,2025-07-11 16:00:00,976,25.44,56850.74,-145.66,46.84,29.9,7.79,7.79,95.26,38.01,37072.37,Ακταίο,Ok
1382,1634,1635.0,2025-07-11 17:00:00,976,25.46,56944.47,-143.88,36.13,29.13,7.82,7.82,95.51,38.09,37133.49,Ακταίο,Ok
1390,1643,1644.0,2025-07-11 18:00:00,976,25.39,56904.2,-144.41,36.75,32.45,7.83,7.83,95.59,38.05,37107.23,Ακταίο,Ok
1398,1652,1653.0,2025-07-11 19:00:00,976,25.3,56850.66,-144.64,36.67,27.69,7.86,7.86,95.81,38.01,37072.32,Ακταίο,Ok
1406,1661,1662.0,2025-07-11 20:00:00,976,25.27,56871.13,-147.78,38.39,28.97,7.86,7.86,95.72,38.03,37085.66,Ακταίο,Ok
1414,1670,1671.0,2025-07-11 21:00:00,976,24.96,57004.0,-149.47,35.31,24.99,7.76,7.76,92.99,38.14,37172.31,Ακταίο,Ok
1422,1679,1680.0,2025-07-11 22:00:00,976,24.5,56892.58,-153.22,36.54,25.23,7.4,7.4,88.66,38.05,37099.65,Ακταίο,Ok
1430,1688,1689.0,2025-07-11 23:00:00,976,24.63,56919.68,-151.8,40.02,25.99,7.23,7.23,85.26,38.07,37117.32,Ακταίο,Ok
