,id,date_insert,sensor_id,wtempV_°C,conductivity_of_solution_ mS_cm,oxidation_reduction_potential_ mV,total_suspended_solids_mg_L,turbidity_NTU,dissolved_oxygen_concentration _ppm,dissolved_oxygen_concentration_mg_L,oxygen_saturation_%,salinity_ppt,dissolved_solids _ppm,location
2,3.0,2025-07-03 15:00:00,976,24.96,56828.55,-170.59,63.73,80.74,7.91,7.91,95.62,37.99,37057.9,Ακταίο
3,4.0,2025-07-03 15:00:00,977,25.18,55496.83,-164.88,171.17,106.32,8.16,8.16,99.18,36.93,36189.48,Ψαθόπυργος
4,5.0,2025-07-03 15:00:00,978,23.61,56486.6,-42.81,37.69,20.7,9.18,9.18,108.31,37.72,36834.91,Αραχωβίτικα
5,6.0,2025-07-03 15:00:00,979,25.25,59786.27,269.63,742.15,430.33,8.01,8.01,97.41,40.39,38986.63,Άγιος Βασίλης
6,7.0,2025-07-03 15:00:00,980,23.61,63480.13,92.58,95.88,82.8,5.03,5.03,59.26,43.43,41395.39,Ρίο
7,8.0,2025-07-03 15:00:00,981,23.65,61497.69,284.7,2.26,1.02,4.55,4.55,53.87,41.79,40102.64,Καστελλόκαμπος
9,10.0,2025-07-03 15:00:00,983,25.28,16878.97,281.51,23.86,13.71,9.4,9.4,112.6,9.91,9759.42,Πλάζ
10,11.0,2025-07-03 15:00:00,984,26.19,52584.25,293.67,63.13,40.9,7.12,7.12,88.28,34.64,34290.2,Ροιτικά
13,14.0,2025-07-03 16:00:00,978,23.9,56484.6,-40.66,38.26,20.97,9.06,9.06,107.58,37.72,36833.61,Αραχωβίτικα
14,15.0,2025-07-03 16:00:00,979,25.26,60281.49,270.3,736.82,436.47,8.05,8.05,97.72,40.79,39309.56,Άγιος Βασίλης
15,16.0,2025-07-03 16:00:00,980,23.42,61999.27,92.95,98.48,79.55,5.05,5.05,59.23,42.21,40429.73,Ρίο
16,17.0,2025-07-03 16:00:00,981,23.84,61519.7,285.92,2.94,0.58,4.65,4.65,55.31,41.81,40117.0,Καστελλόκαμπος
18,19.0,2025-07-03 16:00:00,983,24.53,16521.2,282.94,25.43,14.58,9.82,9.82,117.48,9.68,9552.56,Πλάζ
19,20.0,2025-07-03 16:00:00,984,26.59,52561.42,295.4,62.84,41.26,7.07,7.07,88.28,34.63,34275.3,Ροιτικά
20,21.0,2025-07-03 17:00:00,976,24.7,56596.52,-170.08,432.16,175.68,8.01,8.01,95.85,37.81,36906.59,Ακταίο
21,22.0,2025-07-03 17:00:00,977,24.65,55559.46,-166.1,149.51,79.77,7.64,7.64,91.84,36.98,36230.32,Ψαθόπυργος
22,23.0,2025-07-03 17:00:00,978,23.81,56479.32,-41.11,38.68,21.12,8.91,8.91,105.58,37.71,36830.16,Αραχωβίτικα
23,24.0,2025-07-03 17:00:00,979,25.14,60029.84,270.49,749.56,440.91,7.86,7.86,95.36,40.59,39145.46,Άγιος Βασίλης
24,25.0,2025-07-03 17:00:00,980,22.45,62599.32,92.1,95.4,73.88,4.9,4.9,56.33,42.7,40821.02,Ρίο
25,26.0,2025-07-03 17:00:00,981,23.77,61427.94,284.23,2.14,0.0,4.47,4.47,52.78,41.74,40057.16,Καστελλόκαμπος
27,28.0,2025-07-03 17:00:00,983,24.85,15977.13,284.61,26.06,14.14,10.0,10.0,120.39,9.33,9237.97,Πλάζ
28,29.0,2025-07-03 17:00:00,984,26.46,52595.01,296.51,61.27,38.1,7.6,7.6,94.41,34.65,34297.21,Ροιτικά
29,30.0,2025-07-03 18:00:00,976,24.63,56950.69,-170.49,76.01,212.74,8.04,8.04,96.25,38.09,37137.55,Ακταίο
30,31.0,2025-07-03 18:00:00,977,24.6,55417.38,-166.25,132.32,93.99,7.52,7.52,90.22,36.86,36137.67,Ψαθόπυργος
31,32.0,2025-07-03 18:00:00,978,23.66,56470.81,-40.76,39.51,21.43,8.8,8.8,103.97,37.71,36824.62,Αραχωβίτικα
32,33.0,2025-07-03 18:00:00,979,24.9,59961.64,272.42,756.25,445.26,7.75,7.75,93.58,40.53,39100.99,Άγιος Βασίλης
33,34.0,2025-07-03 18:00:00,980,22.58,62350.32,92.94,99.85,73.14,4.93,4.93,56.74,42.5,40658.65,Ρίο
34,35.0,2025-07-03 18:00:00,981,23.26,61857.16,282.79,3.87,0.0,4.26,4.26,50.06,42.09,40337.06,Καστελλόκαμπος
36,37.0,2025-07-03 18:00:00,983,24.43,15564.93,230.93,28.18,15.45,10.42,10.42,124.47,9.07,8999.64,Πλάζ
37,38.0,2025-07-03 18:00:00,984,26.4,52680.6,298.24,57.21,35.85,7.8,7.8,96.44,34.72,34353.02,Ροιτικά
38,39.0,2025-07-03 19:00:00,976,24.66,56709.95,-171.16,135.79,237.97,7.99,7.99,96.0,37.9,36980.56,Ακταίο
39,40.0,2025-07-03 19:00:00,977,24.59,55338.77,-166.57,145.69,95.43,7.44,7.44,89.34,36.8,36086.41,Ψαθόπυργος
40,41.0,2025-07-03 19:00:00,978,23.57,56602.05,-44.47,41.14,22.33,8.3,8.3,97.75,37.81,36910.2,Αραχωβίτικα
41,42.0,2025-07-03 19:00:00,979,24.62,59888.33,274.4,764.09,451.29,7.22,7.22,86.53,40.47,39053.18,Άγιος Βασίλης
42,43.0,2025-07-03 19:00:00,980,22.65,61888.37,93.56,96.68,65.37,4.88,4.88,56.27,42.12,40357.41,Ρίο
43,44.0,2025-07-03 19:00:00,981,23.1,61691.14,287.31,6.05,1.43,4.63,4.63,54.23,41.95,40228.79,Καστελλόκαμπος
45,46.0,2025-07-03 19:00:00,983,24.42,16274.79,245.35,32.75,18.72,10.61,10.61,126.33,9.52,9410.08,Πλάζ
46,47.0,2025-07-03 19:00:00,984,26.05,52565.56,298.91,47.73,31.05,7.55,7.55,93.26,34.63,34278.0,Ροιτικά
48,49.0,2025-07-03 20:00:00,977,24.52,55307.37,-168.86,134.21,86.45,7.11,7.11,85.29,36.78,36065.94,Ψαθόπυργος
49,50.0,2025-07-03 20:00:00,978,23.54,56475.04,-48.77,40.38,21.75,8.17,8.17,96.35,37.71,36827.37,Αραχωβίτικα
50,51.0,2025-07-03 20:00:00,979,24.24,60082.08,276.38,783.34,459.91,6.62,6.62,78.89,40.63,39179.53,Άγιος Βασίλης
51,52.0,2025-07-03 20:00:00,980,22.73,62070.15,92.14,99.2,67.78,4.73,4.73,54.77,42.27,40475.95,Ρίο
52,53.0,2025-07-03 20:00:00,981,22.94,61228.25,290.35,10.3,1.79,5.1,5.1,59.14,41.57,39926.95,Καστελλόκαμπος
54,55.0,2025-07-03 20:00:00,983,24.19,16625.14,265.81,36.54,20.98,10.58,10.58,126.03,9.75,9612.66,Πλάζ
55,56.0,2025-07-03 20:00:00,984,25.51,52690.36,300.15,46.99,29.75,7.56,7.56,91.22,34.72,34359.38,Ροιτικά
56,57.0,2025-07-03 21:00:00,976,24.55,57077.96,-177.41,74.23,47.8,7.7,7.7,92.31,38.19,37220.54,Ακταίο
57,58.0,2025-07-03 21:00:00,977,24.51,55603.7,-171.57,143.03,88.85,6.65,6.65,79.73,37.01,36259.18,Ψαθόπυργος
58,59.0,2025-07-03 21:00:00,978,23.52,56401.88,-51.62,40.11,21.24,8.15,8.15,95.99,37.65,36779.67,Αραχωβίτικα
59,60.0,2025-07-03 21:00:00,979,24.01,60090.02,276.2,795.03,461.88,6.22,6.22,74.0,40.64,39184.71,Άγιος Βασίλης
60,61.0,2025-07-03 21:00:00,980,22.95,62072.77,91.13,100.33,66.82,4.59,4.59,53.27,42.27,40477.65,Ρίο
63,64.0,2025-07-03 21:00:00,983,23.65,17136.61,271.09,35.41,20.48,10.35,10.35,122.27,10.07,9908.39,Πλάζ
64,65.0,2025-07-03 21:00:00,984,24.83,52787.19,301.3,45.41,28.23,7.22,7.22,86.9,34.79,34422.53,Ροιτικά
65,66.0,2025-07-03 22:00:00,976,24.41,56992.14,-178.25,60.31,37.83,7.61,7.61,90.99,38.13,37164.58,Ακταίο
66,67.0,2025-07-03 22:00:00,977,24.33,55522.9,-172.23,134.45,87.95,6.45,6.45,77.0,36.95,36206.48,Ψαθόπυργος
67,68.0,2025-07-03 22:00:00,978,23.44,56398.68,-51.92,39.15,20.22,8.12,8.12,95.55,37.65,36777.58,Αραχωβίτικα
68,69.0,2025-07-03 22:00:00,979,24.04,59794.0,276.8,802.52,465.27,6.09,6.09,72.48,40.4,38991.67,Άγιος Βασίλης
69,70.0,2025-07-03 22:00:00,980,22.95,62114.49,90.68,102.03,67.58,4.45,4.45,51.71,42.3,40504.86,Ρίο
72,73.0,2025-07-03 22:00:00,983,23.14,15745.01,280.85,35.1,20.58,10.0,10.0,116.87,9.19,9103.76,Πλάζ
73,74.0,2025-07-03 22:00:00,984,23.92,52856.18,305.18,43.79,28.69,7.41,7.41,87.06,34.85,34467.52,Ροιτικά
74,75.0,2025-07-03 23:00:00,976,24.23,57045.85,-176.87,74.9,44.46,7.64,7.64,91.03,38.17,37199.6,Ακταίο
75,76.0,2025-07-03 23:00:00,977,24.23,55901.46,-170.11,147.72,94.7,6.49,6.49,77.38,37.25,36453.34,Ψαθόπυργος
76,77.0,2025-07-03 23:00:00,978,23.34,56374.12,-55.08,39.35,19.97,7.66,7.66,90.0,37.63,36761.57,Αραχωβίτικα
77,78.0,2025-07-03 23:00:00,979,24.04,59853.65,278.12,811.08,470.83,6.06,6.06,72.12,40.45,39030.57,Άγιος Βασίλης
78,79.0,2025-07-03 23:00:00,980,23.08,62088.86,91.07,101.65,65.8,4.45,4.45,51.79,42.28,40488.14,Ρίο
79,80.0,2025-07-03 23:00:00,981,21.46,55760.97,296.62,4.51,0.0,5.17,5.17,58.34,37.14,36361.73,Καστελλόκαμπος
81,82.0,2025-07-03 23:00:00,983,23.13,17136.33,285.97,30.65,17.79,9.32,9.32,108.92,10.07,9908.22,Πλάζ
82,83.0,2025-07-03 23:00:00,984,23.26,52855.71,306.11,43.86,27.03,7.28,7.28,85.35,34.85,34467.21,Ροιτικά
83,84.0,2025-07-04 00:00:00,976,24.12,56996.83,-177.35,190.24,98.3,7.63,7.63,90.88,38.13,37167.63,Ακταίο
84,85.0,2025-07-04 00:00:00,977,24.17,55424.07,-168.35,142.06,89.24,6.55,6.55,78.02,36.87,36142.04,Ψαθόπυργος
85,86.0,2025-07-04 00:00:00,978,23.38,56405.54,-58.46,38.5,19.01,7.2,7.2,84.54,37.65,36782.05,Αραχωβίτικα
86,87.0,2025-07-04 00:00:00,979,23.96,59736.56,278.75,822.41,477.82,6.14,6.14,73.08,40.35,38954.21,Άγιος Βασίλης
87,88.0,2025-07-04 00:00:00,980,22.63,62103.05,92.99,101.97,65.7,4.6,4.6,52.99,42.29,40497.4,Ρίο
90,91.0,2025-07-04 00:00:00,983,22.98,17533.24,288.91,31.9,16.01,8.71,8.71,101.42,10.33,10137.72,Πλάζ
91,92.0,2025-07-04 00:00:00,984,22.78,52913.68,308.15,43.06,26.06,7.14,7.14,82.77,34.89,34505.01,Ροιτικά
92,93.0,2025-07-04 01:00:00,976,23.92,56991.82,-176.6,50.17,44.75,7.6,7.6,90.46,38.13,37164.37,Ακταίο
93,94.0,2025-07-04 01:00:00,977,24.52,55863.11,-169.43,136.04,89.2,6.62,6.62,79.33,37.22,36428.34,Ψαθόπυργος
94,95.0,2025-07-04 01:00:00,978,23.42,56553.45,-54.76,38.79,19.03,7.69,7.69,90.39,37.77,36878.51,Αραχωβίτικα
95,96.0,2025-07-04 01:00:00,979,23.85,59434.11,278.36,839.48,488.29,6.02,6.02,71.46,40.1,38756.98,Άγιος Βασίλης
96,97.0,2025-07-04 01:00:00,980,22.41,62036.74,93.3,103.01,65.63,4.63,4.63,53.26,42.24,40454.16,Ρίο
97,98.0,2025-07-04 01:00:00,981,21.37,60139.12,300.03,4.22,0.01,5.08,5.08,56.8,40.68,39216.72,Καστελλόκαμπος
99,100.0,2025-07-04 01:00:00,983,22.89,18651.5,289.91,32.94,18.71,8.12,8.12,94.4,11.04,10784.3,Πλάζ
100,101.0,2025-07-04 01:00:00,984,22.52,52914.31,310.91,44.33,26.2,7.02,7.02,80.8,34.89,34505.42,Ροιτικά
101,102.0,2025-07-04 02:00:00,976,23.9,57041.27,-176.28,41.91,27.67,7.62,7.62,90.65,38.17,37196.61,Ακταίο
102,103.0,2025-07-04 02:00:00,977,24.89,55763.09,-167.8,150.81,99.42,6.6,6.6,79.74,37.14,36363.11,Ψαθόπυργος
103,104.0,2025-07-04 02:00:00,978,23.43,56530.22,-55.7,40.16,19.96,7.64,7.64,89.92,37.75,36863.36,Αραχωβίτικα
104,105.0,2025-07-04 02:00:00,979,23.64,59516.91,277.2,853.58,496.08,5.96,5.96,70.3,40.17,38810.98,Άγιος Βασίλης
105,106.0,2025-07-04 02:00:00,980,22.32,62093.91,93.47,101.88,62.25,4.6,4.6,52.82,42.29,40491.44,Ρίο
106,107.0,2025-07-04 02:00:00,981,21.34,61258.78,300.69,4.73,0.04,5.24,5.24,58.68,41.6,39946.85,Καστελλόκαμπος
108,109.0,2025-07-04 02:00:00,983,22.65,18474.3,293.73,51.69,22.88,7.86,7.86,90.92,10.93,10681.84,Πλάζ
109,110.0,2025-07-04 02:00:00,984,22.43,52892.55,307.67,45.93,27.24,6.68,6.68,76.51,34.87,34491.23,Ροιτικά
110,111.0,2025-07-04 03:00:00,976,23.79,56967.32,-175.54,37.9,35.55,7.7,7.7,91.36,38.11,37148.39,Ακταίο
111,112.0,2025-07-04 03:00:00,977,24.9,55928.78,-167.46,168.72,100.35,6.62,6.62,79.89,37.27,36471.16,Ψαθόπυργος
112,113.0,2025-07-04 03:00:00,978,23.42,56525.01,-57.52,41.39,21.0,7.49,7.49,88.06,37.75,36859.96,Αραχωβίτικα
113,114.0,2025-07-04 03:00:00,979,23.49,59454.87,277.24,869.39,505.93,5.94,5.94,69.88,40.12,38770.52,Άγιος Βασίλης
114,115.0,2025-07-04 03:00:00,980,22.48,62064.79,93.65,102.97,62.56,4.56,4.56,52.48,42.26,40472.45,Ρίο
117,118.0,2025-07-04 03:00:00,983,22.52,19126.11,297.81,52.99,23.39,7.52,7.52,86.79,11.35,11058.72,Πλάζ
118,119.0,2025-07-04 03:00:00,984,22.1,52942.95,307.99,50.52,26.71,6.53,6.53,74.52,34.91,34524.1,Ροιτικά
119,120.0,2025-07-04 04:00:00,976,23.8,56830.98,-173.95,37.23,57.96,7.82,7.82,92.84,38.0,37059.48,Ακταίο
120,121.0,2025-07-04 04:00:00,977,24.73,55763.51,-167.55,153.6,93.22,6.62,6.62,79.67,37.14,36363.39,Ψαθόπυργος
121,122.0,2025-07-04 04:00:00,978,23.35,56448.89,-59.14,42.64,21.85,7.34,7.34,86.19,37.69,36810.32,Αραχωβίτικα
122,123.0,2025-07-04 04:00:00,979,23.41,58764.49,277.1,881.44,511.2,5.99,5.99,70.38,39.56,38320.33,Άγιος Βασίλης
123,124.0,2025-07-04 04:00:00,980,22.26,62045.64,95.03,101.17,62.56,4.55,4.55,52.11,42.25,40459.96,Ρίο
124,125.0,2025-07-04 04:00:00,981,21.32,59998.53,303.68,4.09,0.0,5.18,5.18,58.36,40.56,39125.04,Καστελλόκαμπος
126,127.0,2025-07-04 04:00:00,983,22.37,20841.18,300.73,68.43,90.31,7.31,7.31,84.1,12.46,12050.37,Πλάζ
127,128.0,2025-07-04 04:00:00,984,21.96,52935.66,307.29,51.51,28.51,6.64,6.64,75.41,34.9,34519.34,Ροιτικά
128,129.0,2025-07-04 05:00:00,976,23.8,56973.43,-175.2,218.5,54.04,7.86,7.86,93.38,38.11,37152.38,Ακταίο
129,130.0,2025-07-04 05:00:00,977,24.71,55751.8,-168.23,154.98,99.87,6.42,6.42,77.25,37.13,36355.75,Ψαθόπυργος
130,131.0,2025-07-04 05:00:00,978,23.35,56410.59,-62.68,43.7,22.46,6.99,6.99,82.16,37.66,36785.34,Αραχωβίτικα
131,132.0,2025-07-04 05:00:00,979,23.44,59173.86,278.5,885.06,511.16,6.06,6.06,71.27,39.89,38587.27,Άγιος Βασίλης
132,133.0,2025-07-04 05:00:00,980,22.13,62028.3,96.56,102.21,63.53,4.61,4.61,52.62,42.23,40448.66,Ρίο
133,134.0,2025-07-04 05:00:00,981,21.33,61811.95,305.48,5.36,0.0,5.2,5.2,58.49,42.05,40307.57,Καστελλόκαμπος
135,136.0,2025-07-04 05:00:00,983,22.18,19374.22,303.22,70.25,24.57,7.21,7.21,82.61,11.51,11202.17,Πλάζ
136,137.0,2025-07-04 05:00:00,984,21.95,52893.04,307.15,52.49,29.8,5.95,5.95,67.7,34.87,34491.55,Ροιτικά
137,138.0,2025-07-04 06:00:00,976,23.77,57072.15,-175.37,83.08,45.66,7.85,7.85,93.1,38.19,37216.75,Ακταίο
138,139.0,2025-07-04 06:00:00,977,24.87,55846.96,-165.02,163.08,103.75,6.74,6.74,81.38,37.21,36417.81,Ψαθόπυργος
139,140.0,2025-07-04 06:00:00,978,23.33,56405.23,-54.33,44.89,23.41,7.37,7.37,86.45,37.65,36781.85,Αραχωβίτικα
140,141.0,2025-07-04 06:00:00,979,23.43,58883.05,277.32,880.68,508.49,6.26,6.26,73.66,39.65,38397.64,Άγιος Βασίλης
141,142.0,2025-07-04 06:00:00,980,22.47,62171.0,96.42,103.36,65.17,4.55,4.55,52.32,42.35,40541.71,Ρίο
142,143.0,2025-07-04 06:00:00,981,21.11,61804.19,306.23,3.76,0.0,5.43,5.43,60.54,42.05,40302.52,Καστελλόκαμπος
144,145.0,2025-07-04 06:00:00,983,22.01,21867.62,303.99,67.07,27.33,7.17,7.17,81.82,13.13,14259.88,Πλάζ
145,146.0,2025-07-04 06:00:00,984,22.0,52925.74,306.64,52.85,29.94,6.72,6.72,76.63,34.9,34512.88,Ροιτικά
146,147.0,2025-07-04 07:00:00,976,23.79,57064.04,-171.71,116.88,46.06,7.97,7.97,94.68,38.18,37211.46,Ακταίο
147,148.0,2025-07-04 07:00:00,977,25.01,56044.78,-156.7,172.38,105.85,7.72,7.72,93.57,37.37,36546.8,Ψαθόπυργος
148,149.0,2025-07-04 07:00:00,978,23.43,56570.16,-40.06,46.39,24.92,8.75,8.75,102.97,37.79,36889.41,Αραχωβίτικα
149,150.0,2025-07-04 07:00:00,979,23.53,58073.02,280.23,875.73,504.71,6.73,6.73,79.35,39.0,37869.41,Άγιος Βασίλης
150,151.0,2025-07-04 07:00:00,980,22.69,62156.58,98.8,104.56,68.37,4.71,4.71,54.42,42.34,40532.31,Ρίο
151,152.0,2025-07-04 07:00:00,981,21.29,61572.82,306.17,4.05,0.0,5.55,5.55,62.41,41.86,40151.64,Καστελλόκαμπος
153,154.0,2025-07-04 07:00:00,983,21.79,21919.56,304.06,66.84,30.54,7.14,7.14,81.0,13.17,14293.75,Πλάζ
154,155.0,2025-07-04 07:00:00,984,21.96,52920.02,306.51,52.4,30.78,6.81,6.81,77.53,34.89,34509.14,Ροιτικά
155,156.0,2025-07-04 08:00:00,976,23.98,57072.64,-169.51,91.25,54.96,8.01,8.01,95.37,38.19,37217.07,Ακταίο
156,157.0,2025-07-04 08:00:00,977,25.25,55913.52,-156.29,157.37,87.24,8.77,8.77,106.9,37.26,36461.21,Ψαθόπυργος
157,158.0,2025-07-04 08:00:00,978,23.19,56251.73,-29.78,48.14,25.81,10.61,10.61,124.07,37.53,36681.75,Αραχωβίτικα
158,159.0,2025-07-04 08:00:00,979,23.82,58063.64,280.39,854.81,495.73,6.96,6.96,82.54,38.99,37863.3,Άγιος Βασίλης
159,160.0,2025-07-04 08:00:00,980,23.12,62173.86,101.06,109.19,72.0,4.82,4.82,56.24,42.35,40543.57,Ρίο
160,161.0,2025-07-04 08:00:00,981,21.29,61454.41,306.38,4.09,0.0,5.76,5.76,64.74,41.76,40074.43,Καστελλόκαμπος
162,163.0,2025-07-04 08:00:00,983,21.79,22783.18,300.75,54.71,25.68,7.33,7.33,83.22,13.74,14856.91,Πλάζ
163,164.0,2025-07-04 08:00:00,984,22.15,52954.67,304.18,52.49,32.0,7.48,7.48,85.59,34.92,34531.74,Ροιτικά
165,166.0,2025-07-04 09:00:00,977,25.28,55644.64,-158.45,166.1,87.77,9.24,9.24,112.49,37.05,36285.88,Ψαθόπυργος
166,167.0,2025-07-04 09:00:00,978,23.48,56376.3,-33.51,48.69,26.37,11.77,11.77,138.58,37.63,36762.99,Αραχωβίτικα
167,168.0,2025-07-04 09:00:00,979,23.92,57531.52,280.03,832.81,481.19,7.05,7.05,83.83,38.56,37516.3,Άγιος Βασίλης
168,169.0,2025-07-04 09:00:00,980,23.34,62224.27,100.81,117.06,76.09,4.84,4.84,56.66,42.39,40576.45,Ρίο
169,170.0,2025-07-04 09:00:00,981,21.44,61451.97,305.18,5.85,2.74,5.76,5.76,65.05,41.76,40072.83,Καστελλόκαμπος
171,172.0,2025-07-04 09:00:00,983,22.05,24554.79,298.79,47.85,23.47,7.59,7.59,86.7,14.91,16012.18,Πλάζ
172,173.0,2025-07-04 09:00:00,984,22.4,52949.85,306.22,54.2,32.31,7.58,7.58,87.28,34.92,34528.6,Ροιτικά
173,174.0,2025-07-04 10:00:00,976,24.32,57069.35,-172.08,69.98,39.75,8.1,8.1,96.68,38.19,37214.93,Ακταίο
174,175.0,2025-07-04 10:00:00,977,25.52,55781.9,-158.63,219.13,116.82,9.49,9.49,116.32,37.16,36375.38,Ψαθόπυργος
175,176.0,2025-07-04 10:00:00,978,23.6,56346.3,-44.21,47.59,26.06,11.63,11.63,137.16,37.61,36743.43,Αραχωβίτικα
176,177.0,2025-07-04 10:00:00,979,24.19,57671.65,278.27,807.95,471.93,7.13,7.13,84.87,38.67,37607.69,Άγιος Βασίλης
177,178.0,2025-07-04 10:00:00,980,23.55,62214.35,100.58,122.1,80.1,4.89,4.89,57.55,42.38,40569.98,Ρίο
178,179.0,2025-07-04 10:00:00,981,21.54,61399.25,305.07,9.65,2.28,5.73,5.73,64.74,41.71,40038.45,Καστελλόκαμπος
180,181.0,2025-07-04 10:00:00,983,22.46,29001.93,297.03,37.2,20.43,7.85,7.85,90.5,17.9,18912.16,Πλάζ
181,182.0,2025-07-04 10:00:00,984,22.97,52943.93,305.55,53.67,32.42,7.73,7.73,89.95,34.91,34524.73,Ροιτικά
183,184.0,2025-07-04 11:00:00,977,25.66,55839.9,-158.34,208.42,104.81,9.55,9.55,117.21,37.2,36413.2,Ψαθόπυργος
184,185.0,2025-07-04 11:00:00,978,23.86,56075.7,-46.62,47.0,26.12,11.26,11.26,133.71,37.39,36566.97,Αραχωβίτικα
185,186.0,2025-07-04 11:00:00,979,24.47,57115.37,278.08,785.06,457.65,7.27,7.27,86.96,38.22,37244.93,Άγιος Βασίλης
186,187.0,2025-07-04 11:00:00,980,23.82,62173.83,101.01,128.67,82.85,4.91,4.91,58.15,42.35,40543.56,Ρίο
187,188.0,2025-07-04 11:00:00,981,21.56,61479.3,304.57,8.31,0.92,5.86,5.86,66.31,41.78,40090.66,Καστελλόκαμπος
189,190.0,2025-07-04 11:00:00,983,23.01,31265.53,295.87,31.99,17.39,8.29,8.29,96.66,19.44,20388.25,Πλάζ
190,191.0,2025-07-04 11:00:00,984,23.72,52805.79,299.31,53.5,32.32,7.7,7.7,90.77,34.81,34434.66,Ροιτικά
191,192.0,2025-07-04 12:00:00,976,24.63,57132.63,-166.99,267.83,43.36,8.06,8.06,96.75,38.24,37256.19,Ακταίο
192,193.0,2025-07-04 12:00:00,977,25.8,55915.55,-158.83,204.36,125.47,9.71,9.71,119.63,37.26,36462.53,Ψαθόπυργος
193,194.0,2025-07-04 12:00:00,978,24.09,56351.34,-47.91,45.98,25.37,11.43,11.43,136.11,37.61,36746.71,Αραχωβίτικα
194,195.0,2025-07-04 12:00:00,979,24.68,57383.98,277.2,764.08,445.14,7.39,7.39,88.72,38.44,37420.1,Άγιος Βασίλης
195,196.0,2025-07-04 12:00:00,980,23.92,62164.91,101.71,134.55,85.82,4.95,4.95,58.43,42.34,40537.74,Ρίο
196,197.0,2025-07-04 12:00:00,981,21.45,61501.1,303.64,5.62,0.14,5.98,5.98,67.36,41.8,40104.87,Καστελλόκαμπος
198,199.0,2025-07-04 12:00:00,983,23.57,31590.77,291.37,24.38,13.28,8.74,8.74,103.13,19.66,20600.34,Πλάζ
199,200.0,2025-07-04 12:00:00,984,23.99,52760.78,297.73,52.97,31.83,7.72,7.72,91.9,34.78,34405.3,Ροιτικά
200,201.0,2025-07-04 13:00:00,976,24.58,56950.16,-168.55,767.93,69.42,8.11,8.11,97.04,38.09,37137.2,Ακταίο
201,202.0,2025-07-04 13:00:00,977,25.88,55806.59,-157.42,252.39,127.34,9.36,9.36,115.51,37.17,36391.48,Ψαθόπυργος
202,203.0,2025-07-04 13:00:00,978,24.05,56368.56,-52.17,46.6,26.22,11.36,11.36,135.27,37.62,36757.94,Αραχωβίτικα
203,204.0,2025-07-04 13:00:00,979,24.86,57751.13,275.87,752.3,432.85,8.49,8.49,102.31,38.74,37659.52,Άγιος Βασίλης
204,205.0,2025-07-04 13:00:00,980,23.41,62200.86,104.25,143.37,92.68,5.08,5.08,59.52,42.37,40561.18,Ρίο
205,206.0,2025-07-04 13:00:00,981,21.44,61512.36,301.25,4.12,0.01,5.86,5.86,66.17,41.81,40112.21,Καστελλόκαμπος
207,208.0,2025-07-04 13:00:00,983,23.94,32065.34,289.93,21.13,11.1,9.32,9.32,110.26,19.99,20909.81,Πλάζ
208,209.0,2025-07-04 13:00:00,984,24.29,52903.44,298.67,53.5,32.16,7.68,7.68,91.56,34.88,34498.34,Ροιτικά
209,210.0,2025-07-04 14:00:00,976,24.53,57014.24,-167.43,49.06,46.12,8.17,8.17,97.97,38.14,37178.98,Ακταίο
210,211.0,2025-07-04 14:00:00,977,25.9,55757.48,-160.63,296.91,168.3,8.68,8.68,107.17,37.14,36359.46,Ψαθόπυργος
211,212.0,2025-07-04 14:00:00,978,24.07,56523.0,-52.76,50.02,28.55,10.02,10.02,119.33,37.75,36858.65,Αραχωβίτικα
212,213.0,2025-07-04 14:00:00,979,24.82,57540.49,274.94,740.03,429.11,8.49,8.49,102.29,38.57,37522.16,Άγιος Βασίλης
213,214.0,2025-07-04 14:00:00,980,23.17,62244.92,104.22,146.35,95.17,5.16,5.16,60.16,42.41,40589.91,Ρίο
214,215.0,2025-07-04 14:00:00,981,21.6,61657.5,302.66,4.15,0.11,5.85,5.85,66.15,41.93,40206.86,Καστελλόκαμπος
216,217.0,2025-07-04 14:00:00,983,24.43,32311.17,287.87,21.3,10.99,9.7,9.7,115.8,20.15,21070.12,Πλάζ
217,218.0,2025-07-04 14:00:00,984,24.6,52890.17,299.14,50.76,31.16,7.63,7.63,91.25,34.87,34489.68,Ροιτικά
218,219.0,2025-07-04 15:00:00,976,24.63,56643.91,-168.02,435.38,56.92,8.04,8.04,96.63,9998.04,36937.49,Ακταίο
219,220.0,2025-07-04 15:00:00,977,25.88,55794.31,-161.73,271.44,152.57,8.03,8.03,99.08,37.17,36383.47,Ψαθόπυργος
220,221.0,2025-07-04 15:00:00,978,23.79,56646.32,-52.79,52.06,29.85,9.38,9.38,111.18,37.85,36939.07,Αραχωβίτικα
221,222.0,2025-07-04 15:00:00,979,24.83,58649.8,274.19,731.31,422.15,8.64,8.64,104.11,39.46,38245.54,Άγιος Βασίλης
222,223.0,2025-07-04 15:00:00,980,23.17,62115.03,104.19,157.84,100.62,5.17,5.17,60.37,42.3,40505.21,Ρίο
223,224.0,2025-07-04 15:00:00,981,21.93,61790.05,302.37,5.43,0.14,5.79,5.79,65.89,42.03,40293.3,Καστελλόκαμπος
225,226.0,2025-07-04 15:00:00,983,23.87,32344.5,284.79,21.35,11.3,10.28,10.28,122.12,20.18,21091.85,Πλάζ
